date,module,lines_of_code
2025-01-31,Authentication,15152
2025-01-31,Reporting,22709
2025-01-31,PaymentGateway,18128
2025-01-31,UserManagement,10156
2025-01-31,Dashboard,12739
2025-02-28,Authentication,15886
2025-02-28,Reporting,23305
2025-02-28,PaymentGateway,18821
2025-02-28,UserManagement,10702
2025-02-28,Dashboard,13476
2025-03-31,Authentication,16565
2025-03-31,Reporting,23859
2025-03-31,PaymentGateway,19565
2025-03-31,UserManagement,11284
2025-03-31,Dashboard,14136
2025-04-30,Authentication,17280
2025-04-30,Reporting,24574
2025-04-30,PaymentGateway,20261
2025-04-30,UserManagement,11790
2025-04-30,Dashboard,14757
2025-05-31,Authentication,17865
2025-05-31,Reporting,25243
2025-05-31,PaymentGateway,20857
2025-05-31,UserManagement,12380
2025-05-31,Dashboard,15421
2025-06-30,Authentication,18635
2025-06-30,Reporting,25916
2025-06-30,PaymentGateway,21487
2025-06-30,UserManagement,12937
2025-06-30,Dashboard,16035